AVT,Eg,PCE,Voc,Jsc,FF,PBDTTT?C?T,PM6,PC71BM,Y6,PTB7?Th,FNIC2,FNIC1,PBDB?T?2F,PCE?10,A078,FOIC,IEICO?4F,PSEHTT,ICBA,BT-CIC,FIC,IEICO?4F,DPP2T,COi8DFIC,Cy7
11,1.66,7.1,760,14.5,64.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.42,13.3,853,21.7,71.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.45,11.1,727,21.4,71.3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.52,8.9,772,18.3,63,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.39,12.6,810,21.2,73.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,1.39,11.7,810,20.7,69.6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,1.34,11,750,20.9,70,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
25,1.4,10.2,736,20.3,68.3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,1.4,12.9,825,21.6,72.4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,1.66,5.6,760,11.9,61.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.35,10.8,718,21.9,68.7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,1.86,6.9,890,11.6,66.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
39,1.86,4.9,880,8.3,67.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
43,1.34,8.1,730,16.3,68.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
46,1.34,10.8,750,20.4,70.6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47,1.86,2.4,860,4.1,68.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
49,1.37,7.2,670,14.8,72.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
50,1.38,8.3,746,16.7,66.8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,1.86,1.8,890,3.8,54.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
53,1.32,5.7,750,10.6,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
73,1.5,1.2,990,1.54,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86,1.52,0.4,500,1.2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
